"Date","Number of items sold","Number of orders","Average net sales amount","Coupon amount","Shipping amount","Gross sales amount","Net sales amount","Refund amount"
"2021-1","17","5","3167.37","0.00","0.00","7335.00","6216.09","0.00"
"2021-2","3","3","3167.37","0.00","0.00","140.00","118.64","0.00"
